SightingDate,City,State,Shape,Intensity,Duration,Summary,Witnesses,Posted
1/2/15,Woodland,CA,Light,High,~3 minutes,Orange star like UAP; not a star or planet.,1,"January 7, 2015"
1/2/15,North Kingstown,RI,Light,Mid,30 seconds,2 separate sightings of medium brightness star lights traveling at high speed and great distance and making 90deg turns,1,"January 7, 2015"
1/2/15,West Babylon,NY,Unknown,Mid,2 seconds,Red to blue streak.,1,"January 7, 2015"
1/2/15,Waynesville,MO,Formation,Mid,2 minutes,Slowly rotating group of lights hovering with car.,1,"January 7, 2015"
1/2/15,Durham,NC,Fireball,Mid,20 seconds,3 red orbs traveling quickly across the night sky. Disappeared within 30 sec. of sighting.,1,"January 7, 2015"
1/1/15,Port Saint Lucie,FL,Triangle,Mid,5-7 minutes,"Five Flying Objects Spotted in Port Saint Lucie, Florida, with 4 small craft and one large triangle shaped craft.",1,"January 7, 2015"
1/1/15,Sequim,WA,Changing,High,1-2 minutes,"A large, silent, bright orange, hovering flying object, dimmed and brightened its ""lights,"" and then vanished.",1,"January 7, 2015"
1/1/15,Pacific Grove,CA,Sphere,Low,3 minutes,Two red-orange spheres headed west. Moved very slowly and gradually faded out of sight over the ocean.,1,"January 7, 2015"
1/1/15,Washington,DC,Other,Mid,2 minutes,"2 glowing orange crafts, in the shape of hang-gliders, passed across the sky.",1,"January 7, 2015"
1/1/15,Victorville,CA,Light,High,1 minute,Bright light flashing into second story apartment before disappearing.,2,"January 7, 2015"
1/1/15,Nashville (Columbia),TN,Fireball,High,3 minutes,Two fireballs hovering over I-65  near the exit to the old Saturn Plant outside of columbia TN,1,"January 7, 2015"
1/1/15,Winter Springs,FL,Fireball,High,20 seconds,Single orange fireball with trail traveling northeast to southeast.,1,"January 7, 2015"
1/1/15,Denver,CO,Fireball,High,5 minutes,"Intelligent burning fireball over University Hills/ Denver, CO.",1,"January 7, 2015"
1/1/15,Twin Falls,ID,Fireball,High,15 minutes,4 red fireballs sighted near Snake River Canyon rim.,1,"January 16, 2015"
1/1/15,Key West,FL,Fireball,High,5 minutes,"Fireballs (4) of low altitude moving relatively slow, equal distances apart, and all ascending into the sky towards Cuba.  No audible s",1,"January 7, 2015"
1/1/15,Myrtle Beach,SC,Cylinder,Mid,2 hours,"Glowing red ufo spotted over ocean in Myrtle Beach, SC, New Year's night 2015.",1,"January 7, 2015"
1/1/15,Kaunakakai,HI,Light,High,45 minutes,Witnessed a large bright ball of light off the south ocean horizon of Moloka'i for 30 minutes. It was not a star or plane. It flashed y,1,"January 7, 2015"
1/1/15,East Stroudsburg,PA,Other,High,7 seconds,"My wife saw lights outside the house, she told me it might be the garage truck, I went to the door and I saw several lights red,white,o",2,"January 7, 2015"
1/1/15,Charleston,SC,Disk,Mid,1 minute,"We saw a fairly large disc fly slowly over rivers avenue. As we watched it, the orange light went out and we could still see the disc s",2,"January 7, 2015"
1/1/15,Oakland,CA,Oval,Mid,2.5 minutes,Saw what I thought to be a blimp in the sky. It actually reminded me if the H(L? ) helium blimp at first. I was facing the sith western,1,"January 7, 2015"
1/1/15,Oakland,CA,Sphere,High,2 minutes,"Bright orange sphere seen over Oakland, CA",1,"January 9, 2015"
1/1/15,Havre de Grace,MD,Unknown,Low,2 minutes,"Strange green blinking light that hoverd over our yard for 2 minutes, then disappeared.",2,"January 7, 2015"
1/1/15,Rio Negro (Colombia),,Disk,Low,seconds,"Object seen on a picture of an open sky, but it wasn't there when I took the picture.",1,"January 7, 2015"
1/1/15,Rozet,WY,Sphere,High,5 seconds,Bright green meteor.,1,"January 7, 2015"
